"name","type","fill","shape","size","outline","ow"
"BI/15793/68","ag","#A208BD","CIRCLE",5,"black",1
"BI/16190/68","ag","#A208BD","CIRCLE",5,"black",1
"BI/16398/68","ag","#A208BD","CIRCLE",5,"black",1
"HK/1/68","ag","#A208BD","CIRCLE",5,"black",1
"BI/808/69","ag","#A208BD","CIRCLE",5,"black",1
"BI/908/69","ag","#A208BD","CIRCLE",5,"black",1
"BI/17938/69","ag","#A208BD","CIRCLE",5,"black",1
"BI/93/70","ag","#A208BD","CIRCLE",5,"black",1
"BI/2668/70","ag","#A208BD","CIRCLE",5,"black",1
"BI/6449/71","ag","#A208BD","CIRCLE",5,"black",1
"BI/21438/71","ag","#A208BD","CIRCLE",5,"black",1
"BI/21801/71","ag","#A208BD","CIRCLE",5,"black",1
"HK/107/71","ag","#A208BD","CIRCLE",5,"black",1
"BI/6022/72","ag","#A208BD","CIRCLE",5,"black",1
"BI/21793/72","ag","#00FFE1","CIRCLE",5,"black",1
"BI/23290/72","ag","#00FFE1","CIRCLE",5,"black",1
"BI/23337/72","ag","#00FFE1","CIRCLE",5,"black",1
"EN/42/72","ag","#00FFE1","CIRCLE",5,"black",1
"BI/552/73","ag","#00FFE1","CIRCLE",5,"black",1
"BI/748/73","ag","#00FFE1","CIRCLE",5,"black",1
"BI/3517/73","ag","#00FFE1","CIRCLE",5,"black",1
"PC/1/73","ag","#00FFE1","CIRCLE",5,"black",1
"BI/5146/74","ag","#00FFE1","CIRCLE",5,"black",1
"BI/5930/74","ag","#00FFE1","CIRCLE",5,"black",1
"BI/5931/74","ag","#00FFE1","CIRCLE",5,"black",1
"BI/7398/74","ag","#00FFE1","CIRCLE",5,"black",1
"BI/9459/74","ag","#00FFE1","CIRCLE",5,"black",1
"BI/334/75","ag","#00FFE1","CIRCLE",5,"black",1
"BI/1843/75","ag","#00FFE1","CIRCLE",5,"black",1
"BI/2600/75","ag","#00FFE1","CIRCLE",5,"black",1
"BI/2813/75","ag","#00FFE1","CIRCLE",5,"black",1
"BI/4273/75","ag","#00FFE1","CIRCLE",5,"black",1
"VI/3/75","ag","#F9D004","CIRCLE",5,"black",1
"BI/628/76","ag","#AB4C00","CIRCLE",5,"black",1
"BI/1761/76","ag","#F9D004","CIRCLE",5,"black",1
"BI/2271/76","ag","#AB4C00","CIRCLE",5,"black",1
"BI/5029/76","ag","#F9D004","CIRCLE",5,"black",1
"BI/5168/76","ag","#F9D004","CIRCLE",5,"black",1
"BI/5657/76","ag","#F9D004","CIRCLE",5,"black",1
"BI/6545/76","ag","#F9D004","CIRCLE",5,"black",1
"AM/1609/77","ag","#F9D004","CIRCLE",5,"black",1
"BI/3895/77","ag","#F9D004","CIRCLE",5,"black",1
"RD/5828/77","ag","#F9D004","CIRCLE",5,"black",1
"RD/8179/77","ag","#F9D004","CIRCLE",5,"black",1
"TE/1/77","ag","#AB4C00","CIRCLE",5,"black",1
"BA/1/79","ag","#00FF00","CIRCLE",5,"black",1
"NL/209/80","ag","#00FF00","CIRCLE",5,"black",1
"RD/577/80","ag","#00FF00","CIRCLE",5,"black",1
"BI/4791/81","ag","#00FF00","CIRCLE",5,"black",1
"LY/2380/81","ag","#00FF00","CIRCLE",5,"black",1
"AL/4382/82","ag","#00FF00","CIRCLE",5,"black",1
"BI/10684/82","ag","#00FF00","CIRCLE",5,"black",1
"NL/233/82","ag","#00FF00","CIRCLE",5,"black",1
"NL/241/82","ag","#00FF00","CIRCLE",5,"black",1
"PH/2/82","ag","#00FF00","CIRCLE",5,"black",1
"OS/13676/83","ag","#00FF00","CIRCLE",5,"black",1
"CE/1/84","ag","#00FF00","CIRCLE",5,"black",1
"GF/V728/85","ag","#00FF00","CIRCLE",5,"black",1
"NL/330/85","ag","#00FF00","CIRCLE",5,"black",1
"NL/333/85","ag","#00FF00","CIRCLE",5,"black",1
"ST/10/85","ag","#00FF00","CIRCLE",5,"black",1
"WE/4/85","ag","#00FF00","CIRCLE",5,"black",1
"CO/2/86","ag","#00FF00","CIRCLE",5,"black",1
"LE/360/86","ag","#00FF00","CIRCLE",5,"black",1
"SH/11/87","ag","#0000FF","CIRCLE",5,"black",1
"SI/2/87","ag","#0000FF","CIRCLE",5,"black",1
"VI/7/87","ag","#0000FF","CIRCLE",5,"black",1
"AT/3572DASH5/88","ag","#0000FF","CIRCLE",5,"black",1
"CC/2/88","ag","#00FF00","CIRCLE",5,"black",1
"EN/427/88","ag","#0000FF","CIRCLE",5,"black",1
"NL/450/88","ag","#0000FF","CIRCLE",5,"black",1
"OK/5/88","ag","#0000FF","CIRCLE",5,"black",1
"ST/12/88","ag","#0000FF","CIRCLE",5,"black",1
"VI/1/88","ag","#0000FF","CIRCLE",5,"black",1
